Candidate;id;isDeleted:0
Candidate;name;isDeleted:0
Candidate;firstName;isDeleted:0
Candidate;lastName;isDeleted:0
Candidate;employmentPreference;isDeleted:0
Candidate;occupation;isDeleted:0
Candidate;companyName;isDeleted:0
Candidate;status;isDeleted:0
Candidate;mobile;isDeleted:0
Candidate;email;isDeleted:0
Candidate;dateAvailable;isDeleted:0
Candidate;source;isDeleted:0
Candidate;dayRateLow;isDeleted:0
Candidate;type;isDeleted:0
Candidate;dateAdded;isDeleted:0
JobOrder;id;isDeleted:0
JobOrder;title;isDeleted:0
JobOrder;clientCorporation;isDeleted:0
JobOrder;employmentType;isDeleted:0
JobOrder;isOpen;isDeleted:0
JobOrder;dateAdded;isDeleted:0
JobOrder;correlatedCustomText10;isDeleted:0
JobOrder;branchCode;isDeleted:0
JobSubmission;id;isDeleted:0
JobSubmission;candidate;isDeleted:0
JobSubmission;jobOrder;isDeleted:0
JobSubmission;status;isDeleted:0
JobSubmission;source;isDeleted:0
JobSubmission;dateAdded;isDeleted:0
JobSubmission;sendingUser;isDeleted:0
Placement;id;[0%20TO%209]
Placement;status;[0%20TO%209]
Placement;candidate;[0%20TO%209]
Placement;jobOrder;[0%20TO%209]
Placement;employmentType;[0%20TO%209]
Placement;jobSubmission;[0%20TO%209]
Placement;dateBegin;[0%20TO%209]
Placement;dateEnd;[0%20TO%209]
Placement;dateAdded;[0%20TO%209]
